id 	,numSat 	,sumFlags 	,mass 	,centralMass 	,centralFlag 	,centralRband 	,firstSatMass 	,firstSatFlag 	,firstSatRband 
10351684 	,2 	,2 	,2.49e+14 	,7.80e+12 	,True 	,-2.6e+01 	,5.09e+09 	,True 	,-1.8e+01 
10351689 	,5 	,5 	,1.06e+14 	,5.74e+11 	,True 	,-2.4e+01 	,2.95e+12 	,True 	,-2.6e+01 
10351702 	,1 	,1 	,1.18e+14 	,4.55e+12 	,True 	,-2.6e+01 	,3.23e+09 	,True 	,-1.9e+01 
10422957 	,334 	,334 	,1.05e+15 	,8.28e+12 	,True 	,-2.7e+01 	,5.45e+11 	,True 	,-2.3e+01 
10484363 	,414 	,414 	,1.18e+15 	,5.87e+12 	,True 	,-2.7e+01 	,6.65e+11 	,True 	,-2.4e+01 
10484365 	,11 	,11 	,2.07e+14 	,5.59e+12 	,True 	,-2.6e+01 	,7.34e+09 	,True 	,-1.9e+01 
10545631 	,310 	,310 	,7.98e+14 	,5.10e+12 	,True 	,-2.6e+01 	,8.35e+11 	,True 	,-2.4e+01 
10545632 	,78 	,78 	,3.00e+14 	,2.47e+12 	,True 	,-2.5e+01 	,3.27e+11 	,True 	,-2.3e+01 
10545633 	,31 	,31 	,1.57e+14 	,2.95e+12 	,True 	,-2.5e+01 	,1.33e+11 	,True 	,-2.2e+01 
10612178 	,394 	,394 	,1.04e+15 	,4.84e+12 	,True 	,-2.6e+01 	,1.48e+12 	,True 	,-2.5e+01 
10672584 	,369 	,369 	,1.02e+15 	,8.32e+12 	,True 	,-2.6e+01 	,1.77e+11 	,True 	,-2.2e+01 
10739656 	,347 	,347 	,8.62e+14 	,5.99e+12 	,True 	,-2.6e+01 	,3.39e+11 	,True 	,-2.3e+01 
10739659 	,22 	,22 	,1.92e+14 	,2.40e+12 	,True 	,-2.5e+01 	,6.29e+10 	,True 	,-2.1e+01 
10739660 	,20 	,20 	,2.02e+14 	,6.12e+12 	,True 	,-2.6e+01 	,1.92e+11 	,True 	,-2.2e+01 
1068546 	,1 	,1 	,4.03e+14 	,3.68e+11 	,True 	,-2.3e+01 	,4.05e+12 	,True 	,-2.7e+01 
10739705 	,2 	,2 	,2.19e+14 	,5.55e+12 	,True 	,-2.6e+01 	,1.41e+11 	,True 	,-2.2e+01 
10809596 	,295 	,295 	,8.11e+14 	,4.33e+12 	,True 	,-2.6e+01 	,2.28e+12 	,True 	,-2.5e+01 
10809602 	,14 	,14 	,1.75e+14 	,5.33e+12 	,True 	,-2.7e+01 	,6.01e+10 	,True 	,-2.1e+01 
1068556 	,2 	,2 	,1.76e+14 	,6.96e+12 	,True 	,-2.7e+01 	,2.48e+11 	,True 	,-2.3e+01 
10809603 	,13 	,13 	,1.26e+14 	,1.90e+12 	,True 	,-2.5e+01 	,4.89e+10 	,True 	,-2.1e+01 
10809605 	,8 	,8 	,1.80e+14 	,3.54e+12 	,True 	,-2.5e+01 	,1.07e+09 	,True 	,-1.7e+01 
10886163 	,371 	,371 	,9.95e+14 	,6.31e+12 	,True 	,-2.6e+01 	,4.59e+11 	,True 	,-2.3e+01 
10943032 	,307 	,307 	,8.82e+14 	,7.75e+12 	,True 	,-2.6e+01 	,3.42e+11 	,True 	,-2.3e+01 
10943033 	,20 	,20 	,2.67e+14 	,4.91e+12 	,True 	,-2.6e+01 	,1.13e+11 	,True 	,-2.2e+01 
10943034 	,20 	,20 	,1.11e+14 	,1.74e+12 	,True 	,-2.5e+01 	,5.18e+10 	,True 	,-2.1e+01 
10943039 	,9 	,9 	,1.09e+14 	,2.00e+12 	,True 	,-2.5e+01 	,2.20e+10 	,True 	,-2.1e+01 
11009511 	,399 	,399 	,1.05e+15 	,3.97e+12 	,True 	,-2.6e+01 	,6.90e+11 	,True 	,-2.4e+01 
11009576 	,2 	,2 	,1.12e+14 	,3.06e+12 	,True 	,-2.5e+01 	,6.09e+09 	,True 	,-2e+01 
11069985 	,266 	,266 	,8.65e+14 	,1.13e+13 	,True 	,-2.8e+01 	,5.58e+11 	,True 	,-2.4e+01 
11069986 	,31 	,31 	,2.10e+14 	,3.64e+12 	,True 	,-2.6e+01 	,5.02e+10 	,True 	,-2.1e+01 
11069987 	,15 	,15 	,1.04e+14 	,9.91e+11 	,True 	,-2.4e+01 	,8.03e+09 	,True 	,-2.1e+01 
11128914 	,409 	,409 	,1.05e+15 	,4.66e+12 	,True 	,-2.6e+01 	,3.11e+12 	,True 	,-2.5e+01 
11128915 	,46 	,46 	,1.35e+14 	,1.84e+12 	,True 	,-2.5e+01 	,3.79e+10 	,True 	,-2.1e+01 
