group id	id	x	y	z	g	r
0	0	0.0	0.0	0.0	-24.79879379272461	-23.874679565429688
0	2	934.578125	205.5078125	201.890625	-23.77075958251953	-22.869895935058594
0	46	-1145.26953125	84.296875	150.453125	-21.417766571044922	-20.5670108795166
0	237	-15.75390625	225.1796875	-80.4375	-20.804914474487305	-19.944726943969727
0	2372	-413.16796875	-123.0234375	462.015625	-15.8920259475708	-15.174077987670898
0	241	42.70703125	-28.0859375	-76.265625	-20.828357696533203	-19.935306549072266
0	243	1111.5703125	-613.46875	1172.5	-20.42763900756836	-19.600954055786133
0	2423	993.671875	528.0859375	429.5625	-16.684364318847656	-15.887174606323242
0	2425	-236.37890625	1357.375	-12.4375	-17.032121658325195	-16.259275436401367
0	244	-100.3671875	1290.4296875	1484.125	-19.994503021240234	-19.195920944213867
0	245	1478.59375	1189.84375	-748.640625	-19.531591415405273	-18.77353286743164
0	249	-108.9140625	-307.8515625	-98.59375	-20.207677841186523	-19.53864097595215
0	250	-238.00390625	280.3515625	-220.03125	-20.735315322875977	-19.8670654296875
0	2520	449.39453125	-93.9140625	199.21875	-15.74988079071045	-15.071029663085938
0	2521	60.71484375	-1224.203125	1105.140625	-16.88854217529297	-16.02532958984375
0	2542	-206.1328125	-388.25	1093.375	-16.448442459106445	-15.718247413635254
0	252	-77.84375	217.71875	-1072.1875	-20.272418975830078	-19.443878173828125
0	2569	-649.828125	-664.375	-631.4375	-15.96723747253418	-15.296428680419922
0	254	-19.5625	-1084.6796875	-939.53125	-20.602516174316406	-19.73990249633789
0	256	194.00390625	728.75	-82.5625	-20.4704532623291	-19.602537155151367
0	48	1861.53125	-1228.46875	82.1875	-21.83275604248047	-20.984819412231445
0	257	1577.328125	-276.328125	-357.34375	-20.343618392944336	-19.594799041748047
0	2629	-9.0546875	98.6953125	63.6875	-16.179576873779297	-15.41030502319336
0	2630	-3.390625	-1617.3515625	-24.28125	-16.047122955322266	-15.40402603149414
0	261	-163.1484375	-985.0703125	1731.015625	-19.779138565063477	-19.165775299072266
0	2664	364.31640625	-301.0390625	376.5	-16.254575729370117	-15.470029830932617
0	263	45.12890625	238.6171875	-52.0625	-20.68658447265625	-19.807371139526367
0	265	47.58984375	-298.609375	16.015625	-20.706174850463867	-19.83272933959961
0	268	336.92578125	93.9765625	64.390625	-20.45351219177246	-19.623004913330078
0	273	403.015625	-30.125	1682.328125	-19.82624053955078	-19.03240394592285
0	2738	95.5390625	-50.2734375	44.78125	-15.988471984863281	-15.237405776977539
0	276	25.19140625	-64.75	-419.921875	-20.290102005004883	-19.448270797729492
0	284	-1922.9375	391.921875	-920.0	-19.783279418945312	-18.937808990478516
0	2778	-100.44140625	-97.0	135.140625	-16.82480812072754	-15.934734344482422
0	287	1002.3984375	-1333.9609375	-999.765625	-19.608840942382812	-18.890945434570312
0	2793	-151.52734375	-3.546875	-170.78125	-16.794673919677734	-15.905113220214844
0	2795	505.078125	394.0546875	-50.578125	-17.120014190673828	-16.241655349731445
0	291	176.89453125	422.8203125	247.515625	-20.363811492919922	-19.512615203857422
0	2827	-74.61328125	69.53125	2.6875	-16.811330795288086	-15.874725341796875
0	51	-312.859375	-499.453125	580.0	-22.356212615966797	-21.453641891479492
0	292	85.24609375	-983.4375	245.421875	-19.562829971313477	-18.73004913330078
0	2841	913.390625	625.984375	68.234375	-15.756875991821289	-15.040319442749023
0	295	-97.87109375	-84.2734375	-620.578125	-19.963743209838867	-19.116830825805664
0	297	1126.8984375	376.7265625	-1674.8125	-19.202592849731445	-18.467458724975586
0	298	-72.19140625	-60.359375	-93.390625	-20.437837600708008	-19.56162452697754
0	300	152.7421875	1527.8125	-268.765625	-19.946002960205078	-19.12244415283203
0	307	-1195.109375	-1354.7109375	599.671875	-19.84193992614746	-19.044212341308594
0	310	662.55078125	137.3125	441.1875	-20.431293487548828	-19.556066513061523
0	314	1234.3984375	-496.8515625	1936.515625	-18.827016830444336	-18.066272735595703
0	3011	6.06640625	89.5703125	-37.609375	-15.749371528625488	-15.011561393737793
0	317	-122.39453125	78.6484375	272.546875	-20.23802375793457	-19.377685546875
0	318	518.80859375	-1352.34375	1058.296875	-19.39701271057129	-18.629350662231445
0	52	-1107.7890625	-1924.8984375	-862.359375	-21.55147933959961	-20.761417388916016
0	319	553.19921875	41.703125	461.890625	-19.984622955322266	-19.168840408325195
0	3079	320.41015625	1.796875	-79.84375	-16.428218841552734	-15.581070899963379
0	321	506.8125	-398.6015625	729.1875	-19.859027862548828	-19.051395416259766
0	3124	-10.140625	-246.875	-82.828125	-16.272823333740234	-15.495625495910645
0	323	479.46875	-32.6640625	1346.59375	-19.73815155029297	-18.90068244934082
0	326	456.1875	304.96875	-1532.015625	-19.59300422668457	-18.81639289855957
0	329	602.58984375	1691.03125	-986.328125	-19.10193634033203	-18.362619400024414
0	3183	499.640625	938.09375	375.90625	-15.727208137512207	-15.008273124694824
0	330	22.37109375	-50.4921875	-58.703125	-20.35731315612793	-19.438440322875977
0	3227	-0.98046875	2.8828125	-1.84375	-16.19174575805664	-15.32229995727539
0	331	872.5234375	-119.75	-928.375	-19.753934860229492	-18.959396362304688
0	332	1250.84375	1017.28125	-468.703125	-19.27081871032715	-18.516305923461914
0	3267	-117.859375	639.234375	101.28125	-16.700740814208984	-15.801237106323242
0	333	34.48828125	469.9140625	744.15625	-20.178447723388672	-19.331876754760742
0	336	1159.1328125	615.3515625	376.765625	-19.194807052612305	-18.42374038696289
0	53	-93.921875	53.2734375	225.796875	-22.338516235351562	-21.43182373046875
0	337	-596.23828125	-809.515625	628.9375	-19.491165161132812	-18.68389129638672
0	340	769.23046875	-1276.1875	917.375	-19.6957950592041	-18.931644439697266
0	3351	-88.70703125	473.5859375	225.859375	-16.11444664001465	-15.353493690490723
0	343	30.94921875	806.8359375	-103.96875	-20.191184997558594	-19.31849479675293
0	345	226.12109375	-885.5625	-68.359375	-19.27846908569336	-18.515207290649414
0	348	11.58203125	-1170.5390625	-1736.84375	-19.664247512817383	-19.053550720214844
0	3420	1215.9296875	386.078125	246.234375	-15.998388290405273	-15.227299690246582
0	351	725.63671875	-784.9921875	-1863.671875	-18.750490188598633	-18.030139923095703
0	354	-994.3359375	1109.8984375	1109.609375	-18.355552673339844	-17.63843536376953
0	357	171.15625	1557.5234375	-842.453125	-19.49176025390625	-18.69570541381836
0	3490	-16.21484375	96.734375	2.421875	-15.724966049194336	-15.008825302124023
0	359	-105.25390625	641.4296875	-812.234375	-20.012149810791016	-19.17939567565918
0	363	-553.3359375	-2311.4453125	-327.171875	-18.696548461914062	-18.46926498413086
0	54	-58.1328125	1228.421875	322.34375	-21.93440818786621	-21.106433868408203
0	364	570.22265625	-3.1328125	191.359375	-18.947696685791016	-18.180042266845703
0	365	46.76953125	777.828125	-667.46875	-20.054773330688477	-19.20260238647461
0	366	-355.52734375	-83.8515625	62.3125	-19.663143157958984	-18.84130096435547
0	368	944.7578125	-114.9140625	-180.5	-19.18607521057129	-18.61141014099121
0	370	-64.0625	2390.2890625	283.046875	-18.54694938659668	-17.961624145507812
0	371	-1120.359375	697.8125	-1359.875	-19.49907684326172	-18.70431900024414
0	374	-801.63671875	-64.9296875	-180.65625	-19.809425354003906	-18.953596115112305
0	375	402.3515625	-1110.1328125	-503.625	-19.794294357299805	-18.97332191467285
0	378	-702.01953125	-816.328125	-599.546875	-20.112449645996094	-19.253578186035156
0	379	-219.13671875	-596.7109375	-39.84375	-19.905349731445312	-19.069101333618164
0	55	-1936.640625	-752.84375	1162.4375	-20.993621826171875	-20.154067993164062
0	382	-41.96484375	-56.078125	77.78125	-20.15406608581543	-19.233991622924805
0	384	21.69921875	-48.0546875	-207.203125	-20.095924377441406	-19.181732177734375
0	385	55.95703125	55.53125	98.953125	-20.012041091918945	-19.143619537353516
0	387	-23.06640625	-85.921875	-1309.765625	-19.186609268188477	-18.415956497192383
0	388	-913.375	-1397.6015625	-1757.453125	-18.76250648498535	-18.022937774658203
0	395	-174.40625	-1531.71875	-1490.09375	-19.2584285736084	-18.4901065826416
0	397	-77.61328125	1072.7734375	-588.265625	-19.555824279785156	-18.74122428894043
0	398	245.953125	-14.9921875	-236.015625	-19.420665740966797	-18.601987838745117
0	399	-181.09375	-365.3984375	-1360.0	-19.822830200195312	-18.978160858154297
0	3995	86.84765625	89.9375	55.28125	-16.524751663208008	-15.616320610046387
0	401	-1043.8671875	-1445.7734375	-894.109375	-19.749544143676758	-18.971851348876953
0	57	-16.8984375	77.390625	-82.546875	-22.14238739013672	-21.2440128326416
0	404	-1320.8828125	-1160.5703125	-1033.96875	-17.435325622558594	-16.853452682495117
0	405	-72.83203125	-807.8046875	-1784.140625	-18.817861557006836	-18.044137954711914
0	406	960.421875	-1092.3125	798.796875	-19.60422706604004	-18.80979347229004
0	409	69.91796875	-14.359375	68.828125	-20.0253963470459	-19.1071720123291
0	411	755.26953125	428.5859375	541.46875	-19.45651626586914	-18.641237258911133
0	414	101.13671875	250.3828125	-66.734375	-19.957469940185547	-19.096904754638672
0	4149	30.78125	-775.578125	636.34375	-15.939651489257812	-15.034615516662598
0	415	737.6875	-1191.0234375	-1275.671875	-18.93120765686035	-18.166086196899414
0	417	5.49609375	1329.5234375	92.234375	-19.610044479370117	-18.80129623413086
0	418	93.84765625	-17.9296875	-116.125	-19.958576202392578	-19.081722259521484
0	419	594.91015625	787.359375	-1241.171875	-19.03498077392578	-18.246524810791016
0	58	60.73828125	9.140625	-39.28125	-22.19942283630371	-21.311424255371094
0	420	-30.1640625	-795.265625	36.6875	-18.904611587524414	-18.167499542236328
0	421	-345.61328125	1715.8828125	594.53125	-17.65716552734375	-16.958694458007812
0	422	-89.08203125	-116.3203125	-479.984375	-19.934553146362305	-19.05063247680664
0	426	37.70703125	72.7421875	89.140625	-20.00343132019043	-19.07673454284668
0	427	493.40234375	1910.6015625	-1303.3125	-17.762596130371094	-17.02144432067871
0	428	482.6015625	-2065.046875	997.171875	-17.629728317260742	-17.13693618774414
0	4399	924.140625	162.5078125	416.875	-16.400075912475586	-15.49692153930664
0	429	740.63671875	312.609375	67.546875	-19.9724178314209	-19.068876266479492
0	431	1.37890625	-1318.8984375	436.25	-18.1020450592041	-17.637880325317383
0	436	612.17578125	33.34375	26.90625	-19.6580753326416	-18.815650939941406
0	437	-327.0390625	-915.84375	-50.046875	-18.504003524780273	-17.746295928955078
0	60	7.95703125	345.28125	55.90625	-21.993444442749023	-21.11895751953125
0	438	-84.828125	78.40625	-406.390625	-19.915285110473633	-19.016328811645508
0	4529	175.7109375	-56.0	588.640625	-16.04829978942871	-15.228923797607422
0	440	817.9453125	1369.4140625	18.8125	-18.827112197875977	-18.029666900634766
0	441	258.796875	227.609375	87.09375	-19.548568725585938	-18.743322372436523
0	443	-557.19140625	824.4609375	-1881.578125	-19.411296844482422	-18.57195472717285
0	445	31.00390625	88.09375	-309.234375	-19.843828201293945	-18.9749755859375
0	447	953.15625	-1669.78125	-705.875	-17.665855407714844	-16.937633514404297
0	448	12.07421875	-44.640625	80.859375	-19.907428741455078	-19.014278411865234
0	456	1140.5546875	178.328125	196.0625	-19.819713592529297	-18.95852279663086
0	457	1194.1015625	-18.7265625	-1450.765625	-17.057462692260742	-16.430028915405273
0	462	-813.44140625	153.515625	87.125	-19.583168029785156	-18.825847625732422
0	4	656.7734375	1001.5703125	200.28125	-22.897930145263672	-22.021102905273438
0	65	-400.359375	475.9609375	383.21875	-21.637996673583984	-20.789024353027344
0	464	98.265625	-274.046875	-739.015625	-19.532686233520508	-18.716472625732422
0	465	-100.31640625	43.8984375	195.734375	-18.657434463500977	-17.977754592895508
0	466	1898.09375	-490.984375	82.890625	-18.999528884887695	-18.200910568237305
0	469	352.0234375	1012.3046875	38.390625	-18.457334518432617	-17.693920135498047
0	470	-18.47265625	190.5078125	680.578125	-18.31696128845215	-17.61248779296875
0	471	-64.921875	1420.25	-60.96875	-19.24941635131836	-18.506383895874023
0	472	-93.015625	1007.25	-1037.015625	-18.723102569580078	-17.937978744506836
0	475	-934.90625	1867.4453125	-795.1875	-16.663131713867188	-15.989585876464844
0	476	1887.34375	863.640625	346.59375	-18.8714542388916	-18.086469650268555
0	477	43.8984375	158.09375	62.9375	-19.620603561401367	-18.76259422302246
0	66	872.2109375	-202.0546875	-105.6875	-21.27332878112793	-20.437641143798828
0	479	1177.4375	23.359375	274.875	-18.364656448364258	-17.6373233795166
0	482	-427.671875	-97.7265625	888.828125	-18.889324188232422	-18.093002319335938
0	486	258.98046875	75.1875	7.15625	-19.643333435058594	-18.76123809814453
0	487	-1526.96875	-224.3203125	119.21875	-18.768579483032227	-17.98825454711914
0	490	78.6015625	437.234375	-1732.4375	-19.46302604675293	-18.62963104248047
0	494	698.81640625	1815.4921875	-271.5625	-18.981693267822266	-18.18134880065918
0	499	-576.66015625	-237.203125	-513.015625	-19.26212501525879	-18.468605041503906
0	501	70.765625	-76.3125	-92.34375	-19.612817764282227	-18.702430725097656
0	506	1143.7890625	65.2578125	684.6875	-17.27305793762207	-16.5915470123291
0	508	874.8671875	433.7265625	-1068.640625	-18.819095611572266	-18.04970932006836
0	67	1726.0	-207.203125	-960.40625	-21.093881607055664	-20.363161087036133
0	511	-32.015625	-40.3984375	732.0	-19.18221092224121	-18.3845272064209
0	515	79.09765625	-42.2421875	-324.390625	-19.3297061920166	-18.484983444213867
0	516	38.41015625	371.9296875	30.078125	-18.21978759765625	-17.5174560546875
0	517	273.12890625	88.671875	310.515625	-19.601144790649414	-18.732553482055664
0	520	-32.69140625	1292.4296875	1122.578125	-17.906587600708008	-17.220338821411133
0	521	-688.94140625	-415.078125	-133.171875	-19.2466983795166	-18.430448532104492
0	522	729.13671875	454.9765625	1328.234375	-18.95979118347168	-18.171648025512695
0	523	935.8984375	204.171875	169.53125	-19.594682693481445	-18.706632614135742
0	528	24.69140625	762.078125	72.015625	-18.879945755004883	-18.109766006469727
0	529	1150.5859375	-694.4375	-164.5625	-17.0753231048584	-16.437950134277344
0	70	1553.140625	-180.109375	-300.578125	-21.238529205322266	-20.562850952148438
0	532	271.96484375	-170.5390625	1119.421875	-18.31477165222168	-17.56888771057129
0	533	-218.90625	434.375	-162.359375	-17.857601165771484	-17.163818359375
0	534	-192.78125	-940.71875	-430.625	-18.390628814697266	-17.629989624023438
0	535	-87.171875	-1475.7578125	-89.75	-18.198627471923828	-17.473264694213867
0	537	-1118.28125	-608.296875	32.03125	-19.330490112304688	-18.523717880249023
0	538	-660.95703125	265.2734375	276.421875	-17.093591690063477	-16.421064376831055
0	541	187.10546875	586.921875	695.921875	-17.94257926940918	-17.19584846496582
0	546	-97.77734375	606.9765625	683.421875	-18.949899673461914	-18.140703201293945
0	547	49.44140625	35.9453125	414.640625	-19.38161277770996	-18.506502151489258
0	549	-687.22265625	-217.046875	686.125	-16.710691452026367	-16.08347511291504
0	72	306.921875	-1181.7734375	61.796875	-21.599843978881836	-20.746967315673828
0	552	585.6484375	-173.1796875	88.734375	-17.89647674560547	-17.212934494018555
0	553	810.1484375	760.9375	-99.40625	-17.79770278930664	-17.19999122619629
0	557	-834.671875	-483.703125	-1237.203125	-17.64710235595703	-16.935075759887695
0	562	-1210.44921875	-1129.1875	-200.328125	-15.99531364440918	-15.488574028015137
0	564	-72.09375	-1058.0390625	618.765625	-19.051788330078125	-18.242008209228516
0	575	335.86328125	462.3046875	467.53125	-16.932369232177734	-16.24969482421875
0	576	-43.46484375	-1423.2890625	-942.09375	-18.564443588256836	-17.800931930541992
0	577	922.8125	-1316.9921875	-976.4375	-18.574071884155273	-17.880887985229492
0	579	-1767.1953125	488.65625	-819.359375	-18.518516540527344	-17.743925094604492
0	580	690.48828125	222.5078125	991.609375	-18.4875545501709	-17.70879554748535
0	73	53.6953125	70.28125	-90.359375	-22.087045669555664	-21.188817977905273
0	582	973.9375	716.890625	42.421875	-19.170291900634766	-18.4202823638916
0	589	679.6875	-4.2734375	-694.09375	-18.648117065429688	-17.91411781311035
0	592	1003.78125	-1963.1171875	796.75	-18.38572120666504	-17.669069290161133
0	595	-474.55859375	266.515625	255.203125	-19.208724975585938	-18.390676498413086
0	597	-1239.94921875	92.8984375	199.21875	-19.413984298706055	-18.563873291015625
0	599	949.4375	1782.5625	-1197.109375	-19.05105972290039	-18.246000289916992
0	600	591.21875	-553.1171875	-627.453125	-17.601720809936523	-16.857994079589844
0	604	-1943.34765625	302.1875	-165.15625	-16.32334327697754	-15.73789119720459
0	605	-1137.0390625	-61.9765625	-104.140625	-19.317092895507812	-18.44668960571289
0	74	-38.9375	-1287.7734375	22.15625	-21.315271377563477	-20.490732192993164
0	608	-59.5078125	175.0859375	-391.984375	-18.753259658813477	-17.96149444580078
0	609	173.4375	1231.3046875	510.953125	-18.662220001220703	-18.012624740600586
0	613	781.95703125	-1340.4375	-994.390625	-17.907621383666992	-17.200258255004883
0	614	-849.8671875	-58.21875	-440.84375	-18.435407638549805	-17.72277069091797
0	619	-195.05078125	-1062.421875	492.0	-17.96179962158203	-17.452423095703125
0	620	-281.41015625	960.8046875	-1680.171875	-17.251859664916992	-16.537508010864258
0	621	137.20703125	-1089.4453125	-15.484375	-16.871700286865234	-16.354265213012695
0	622	-1695.7890625	-80.546875	44.328125	-17.01544952392578	-16.367076873779297
0	624	165.1796875	2237.2578125	623.03125	-17.10334014892578	-16.393184661865234
0	77	-72.24609375	-727.9140625	638.4375	-21.79339599609375	-20.917402267456055
0	627	-325.6328125	796.3984375	-1407.96875	-17.390718460083008	-16.71381950378418
0	629	266.83984375	199.5859375	-1140.90625	-18.141544342041016	-17.42978858947754
0	633	851.5	1320.2109375	-829.25	-16.986682891845703	-16.311182022094727
0	634	-18.1640625	406.4921875	183.8125	-18.858850479125977	-18.087127685546875
0	644	-738.453125	-302.640625	-872.140625	-18.50025749206543	-17.732120513916016
0	647	-4.66796875	-270.2421875	329.890625	-19.006038665771484	-18.17745590209961
0	652	-367.21875	-1338.7890625	78.09375	-18.74829864501953	-17.97090721130371
0	657	-10.859375	-33.1640625	-296.703125	-19.250089645385742	-18.3422908782959
0	659	-80.76171875	14.25	-84.234375	-19.295337677001953	-18.37968635559082
0	81	16.63671875	790.53125	-171.453125	-21.592134475708008	-20.74283218383789
0	660	-404.1484375	-1009.5234375	297.109375	-18.40009117126465	-17.630510330200195
0	664	-206.046875	-521.734375	-815.421875	-17.949567794799805	-17.22813606262207
0	670	41.34375	912.65625	417.359375	-17.367563247680664	-16.68692970275879
0	671	441.51953125	2162.3828125	90.890625	-17.571794509887695	-16.884946823120117
0	672	251.79296875	2129.7109375	-74.625	-18.629867553710938	-17.953556060791016
0	673	-12.39453125	-1196.96875	-1484.078125	-17.189756393432617	-16.601459503173828
0	675	-392.16015625	1238.6171875	-310.796875	-16.446802139282227	-15.789546012878418
0	679	2042.1328125	584.0390625	-714.5	-16.23234748840332	-15.563250541687012
0	683	-136.27734375	180.84375	-1232.265625	-16.0611629486084	-15.436139106750488
0	684	351.6171875	-1554.0546875	-44.390625	-15.837075233459473	-15.315668106079102
0	85	149.7265625	211.25	183.515625	-21.798288345336914	-20.901153564453125
0	686	-1471.6328125	-545.6171875	-0.0625	-17.155620574951172	-16.445110321044922
0	687	-132.73046875	22.2109375	-906.484375	-18.74641990661621	-17.99923324584961
0	691	-69.140625	2193.9921875	-35.453125	-18.726333618164062	-17.938283920288086
0	692	294.7734375	1642.96875	-82.21875	-16.547271728515625	-15.892441749572754
0	693	-953.74609375	2224.0	-24.296875	-16.035762786865234	-15.380735397338867
0	694	-776.21875	-1740.0234375	1013.265625	-18.006196975708008	-17.272432327270508
0	695	-955.0546875	-499.4296875	-1544.796875	-18.329429626464844	-17.573347091674805
0	698	-165.4609375	802.3515625	-57.65625	-18.226531982421875	-17.461210250854492
0	9	43.62890625	-597.5625	-1571.125	-21.909292221069336	-21.066055297851562
0	87	-6.28125	460.6640625	-1444.953125	-21.187759399414062	-20.35082244873047
0	702	55.71875	41.2578125	586.984375	-18.938613891601562	-18.119827270507812
